review,handicap,pet,child,other
"This hotel is wheelchair accessible and the staff was very helpful",1,0,0,0
"Staff allowed us to bring our dog without extra charges",0,1,0,0
"The room was spacious enough for my family with two kids",0,0,1,0
"Great location, but not suitable for disabled travelers",1,0,0,0
"Our cat was welcome in the room and the garden",0,1,0,0
"Kids loved the pool and playground",0,0,1,0
"Hotel was fine but nothing special",0,0,0,1
"Perfect for a family vacation with children and pets",0,1,1,0
"Accessible entrance and elevator, very convenient for wheelchair users",1,0,0,0
"Good experience traveling alone",0,0,0,1
"Excellent service for travelers with mobility issues",1,0,0,0
"Pet-friendly rooms and outdoor space for dogs",0,1,0,0
"Fun activities for kids during the weekend",0,0,1,0
"Spacious rooms, clean environment, great value",0,0,0,1
"Helpful staff assisted with my wheelchair and luggage",1,0,0,0
"Dog sitter available on request, very convenient",0,1,0,0
"Indoor playground and babysitting services were fantastic",0,0,1,0
"Good for couples and solo travelers",0,0,0,1



